play,qtr,coarse_snap,true_snap,true_snap_v2,diff_from_v1,frame_file,error_s,method,justification,v2_justification
73,3,1620.0,1621.45,1621.45,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),1.45,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx31 (t=+1.5); midpoint with last high frame (idx30, t=+1.4) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx31 (t=+1.5); midpoint with last high frame (idx30, t=+1.4) taken as snap."
78,3,1697.0,1697.95,1697.95,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.95,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx26 (t=+1.0); midpoint with last high frame (idx25, t=+0.9) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx26 (t=+1.0); midpoint with last high frame (idx25, t=+0.9) taken as snap."
85,3,1814.0,1814.85,1814.85,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.85,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx25 (t=+0.9); midpoint with last high frame (idx24, t=+0.8) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx25 (t=+0.9); midpoint with last high frame (idx24, t=+0.8) taken as snap."
92,3,1922.0,1922.05,1922.05,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.05,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx17 (t=+0.1); midpoint with last high frame (idx16, t=+0.0) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx17 (t=+0.1); midpoint with last high frame (idx16, t=+0.0) taken as snap."
100,3,2130.0,2130.75,2130.85,0.1,"p100/f_020.jpg (idx19/20 midpoint, window base 2129.0)",0.75,visual-motion,"Chip crop unreadable on this wide/zoomed camera angle (std never drops below ~20 in the original +/-1.5..2.5s window; a scramble already visible at t=+2.4 traced back to a menu/defense-adjust sequence extending well before the coarse mark). Re-extracted a continuous 4.0s window from t=2127.5: formation and defensive-adjust menus static through idx31 (t=2130.5), motion blur and down/distance bar update (1st&10 -> 2nd&10) onset idx33-35 (t=2130.7-2130.9); snap taken at motion-blur onset midpoint (t=2130.75).","Re-verified at 10fps. Wide/zoomed camera, ball not resolvable. idx16-18(2130.6-2130.8) formation static, defense-adjust icons still up (presnap). idx19(2130.9) QB already stepping/hips turned -- first visible motion. idx20(2131.0) full camera motion-blur (broadcast pan) confirming snap already occurred. First-motion frame taken as midpoint of idx18/19 boundary = 2130.85. Close to truth.csv's visual-motion read (2130.75, diff 0.1s); both are far later than the original loose eyeball estimate (~2130.15), confirming the task's flagged discrepancy."
105,4,2281.0,2281.55,2281.55,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.55,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx22 (t=+0.6); midpoint with last high frame (idx21, t=+0.5) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx22 (t=+0.6); midpoint with last high frame (idx21, t=+0.5) taken as snap."
115,3,2465.0,2465.05,2465.05,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.05,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx17 (t=+0.1); midpoint with last high frame (idx16, t=+0.0) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx17 (t=+0.1); midpoint with last high frame (idx16, t=+0.0) taken as snap."
120,4,2585.0,2585.85,2585.85,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.85,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx25 (t=+0.9); midpoint with last high frame (idx24, t=+0.8) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx25 (t=+0.9); midpoint with last high frame (idx24, t=+0.8) taken as snap."
125,4,2684.0,2683.45,2683.45,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),-0.55,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx11 (t=-0.5); midpoint with last high frame (idx10, t=-0.6) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx11 (t=-0.5); midpoint with last high frame (idx10, t=-0.6) taken as snap."
133,4,2895.0,2895.85,2895.85,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.85,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx25 (t=+0.9); midpoint with last high frame (idx24, t=+0.8) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx25 (t=+0.9); midpoint with last high frame (idx24, t=+0.8) taken as snap."
